#{"t_start": 1767471139.7605793, "env_id": null}
r,l,t
-1008.578416,34,2.00458
-807.036532,35,2.050678
-1006.505784,39,2.098552
-1006.81724,36,2.139946
-1009.162957,35,2.186824
-912.063234,45,2.254648
-1009.362337,37,2.303871
-908.014671,30,2.354742
-1009.365584,38,2.401626
-1007.75793,38,2.456991
-1007.257396,39,2.515842
-1006.281577,38,2.592641
-1008.592711,43,2.667947
-1009.714787,44,2.743487
-905.43088,33,2.783916
-1008.492038,39,2.843754
-907.122055,41,2.902597
-1011.192965,47,2.984384
-1009.901927,39,3.029824
-1009.015194,42,3.096646
-1009.951949,37,3.144518
-1007.288479,51,3.208354
-1005.586096,38,3.273193
-1008.146358,43,3.334034
-1007.662492,32,3.374929
-1007.279706,31,3.423799
-1007.73313,38,3.491984
-1009.112646,35,3.534885
-1006.483498,37,3.588804
-907.958032,33,3.641725
-1010.72834,43,3.708055
-1008.063464,38,3.77165
-1007.259365,33,3.817525
-906.622285,47,3.87936
-808.366754,39,3.980935
-1009.85003,36,4.052745
-1008.107756,34,4.112593
-1007.760506,41,4.16496
-906.077925,41,4.221817
-1008.586974,35,4.277091
-1008.010933,30,4.313994
-1006.87548,44,4.368857
-907.624836,34,4.408756
-1008.218137,40,4.463614
-1006.722798,45,4.538818
-1009.656162,36,4.580707
-1006.192867,36,4.637071
-1009.913755,38,4.686937
-1006.410596,40,4.756851
-1007.470952,41,4.818732
-806.758834,40,4.873101
-1007.255503,38,4.917704
-1007.700025,33,4.966573
-1009.641803,33,5.026415
-1006.749067,40,5.092256
-1009.781819,42,5.141143
-1008.474994,36,5.187058
-1008.407366,37,5.244933
-1008.643517,33,5.28483
-1008.750274,36,5.330708
-1007.277948,38,5.375102
-1007.329737,43,5.4539
-1010.087671,39,5.511746
-1008.427403,31,5.56112
-1008.083149,31,5.60201
-907.593037,35,5.65388
-1007.753797,33,5.698074
-1007.981826,39,5.759908
-1008.339143,33,5.809774
-1009.261551,38,5.862641
-1010.637974,49,5.925074
-1005.830965,34,5.983918
-1007.402896,40,6.03877
-1008.993845,39,6.088295
-1009.643768,38,6.150251
-806.662257,36,6.198139
-1009.158834,33,6.252993
-907.822454,32,6.30286
-908.376421,35,6.355719
-1007.400091,33,6.41473
-1008.79366,33,6.464589
-1009.068484,41,6.531446
-1006.61355,33,6.584369
-1009.516297,38,6.640263
-1008.340601,36,6.69013
-1010.354445,40,6.753029
-1008.420863,35,6.797972
-1008.566234,32,6.844886
-1008.553926,34,6.89634
-1008.560658,34,6.944254
-1008.54519,33,6.99014
-1007.891655,34,7.030102
-1009.299466,33,7.072005
-907.690438,32,7.113163
-1008.210925,31,7.157049
-1008.514639,32,7.19794
-1007.651616,41,7.265283
-1008.461842,37,7.317903
-1008.420123,32,7.357796
-908.509548,34,7.400691
-907.888723,34,7.452017
-908.651493,37,7.530808
-1008.770122,33,7.574696
-1010.357682,37,7.634231
-1008.250871,35,7.67612
-908.105816,30,7.713022
-1007.277412,42,7.774855
-1006.427507,36,7.826907
-1009.172113,35,7.877295
-1006.948644,36,7.921178
-1007.623554,38,7.983013
-1008.453848,35,8.039861
-1007.022335,34,8.087739
-806.827401,36,8.134624
-1008.258997,39,8.192478
-1008.98203,34,8.246338
-1006.838029,36,8.291219
-1008.522014,34,8.336102
-1007.296423,42,8.396947
-1009.418898,33,8.442335
-1006.506307,39,8.508159
-1009.311182,39,8.568996
-1007.145513,37,8.629346
-1007.446437,35,8.675226
-1006.89341,36,8.736068
-1010.048188,46,8.798421
-1008.312075,41,8.865254
-1009.247607,35,8.92012
-1009.111298,34,8.964003
-1006.875999,36,9.020271
-1006.189379,36,9.066156
-907.102555,38,9.114045
-1008.201875,38,9.159427
-1008.600495,51,9.241215
