#{"t_start": 1767731762.567345, "env_id": null}
r,l,t
-937.657522,116,0.038942
-915.213129,67,0.05991
-908.587536,81,0.083835
-837.726202,235,0.154659
-916.145504,90,0.180291
485.084521,240,0.244586
-942.095887,144,0.281611
262.642859,240,0.344215
-915.481205,90,0.368054
-907.264533,69,0.386056
249.540997,240,0.450782
171.269631,240,0.518479
277.081614,240,0.582768
-919.690302,126,0.614785
-818.877276,159,0.658195
-829.295493,164,0.70185
-622.283919,229,0.761656
256.157783,240,0.826902
184.624066,240,0.895355
261.398216,240,0.959668
-824.033816,121,0.992335
-912.998902,75,1.014109
127.782847,240,1.078262
-622.133151,119,1.111544
374.410169,240,1.176087
-912.384429,96,1.200872
-1011.055203,57,1.21418
-718.849754,139,1.255614
-822.480225,149,1.295432
-1014.631201,61,1.310786
-921.587667,82,1.334426
-920.799884,101,1.361135
-915.311761,63,1.376806
375.965868,240,1.438689
-828.211611,104,1.464918
-834.054711,182,1.513357
169.973304,240,1.578304
-831.116255,139,1.613645
-1012.778998,87,1.641466
-1010.093681,64,1.660241
-1007.577138,46,1.671857
-841.706266,204,1.726304
-1052.086394,165,1.773575
-967.055122,218,1.833319
50.091299,240,1.894443
-620.640783,164,1.940354
-1031.106054,131,1.973003
42.867324,240,2.035076
-850.79429,208,2.088719
266.952936,240,2.1523
-725.294884,148,2.194623
450.717758,240,2.258919
464.854708,240,2.320153
-914.747982,88,2.343437
-827.527275,92,2.365906
-1010.406878,75,2.385265
-819.259016,123,2.415901
246.768991,240,2.478461
-1021.948301,72,2.499999
143.049992,240,2.563255
80.164404,240,2.630974
-1011.460953,61,2.647223
-932.760252,97,2.674975
-922.886554,73,2.693864
-927.451199,136,2.738234
-912.217202,55,2.754384
155.991373,240,2.822499
260.910528,240,2.886562
-918.514641,85,2.910952
-935.584761,98,2.939012
-932.227935,100,2.966837
-650.482944,202,3.024172
-837.155505,204,3.079135
160.893385,240,3.150942
-919.530054,87,3.178272
251.832518,240,3.250621
256.615165,240,3.327423
-830.528585,165,3.37603
-920.307967,86,3.401138
-914.916965,111,3.43502
-829.444692,134,3.476167
-620.583405,93,3.504256
-717.124906,120,3.540122
-913.386717,68,3.559226
-829.193626,183,3.617442
-719.212063,158,3.665277
-830.229758,185,3.725703
-816.246368,79,3.752306
-654.036943,225,3.820021
-840.877231,207,3.883351
-941.902422,149,3.931438
-939.745844,225,3.999502
370.920114,240,4.074478
-28.748957,240,4.148559
-920.600934,84,4.175547
-930.927504,203,4.237129
-912.637793,79,4.260591
-1034.547969,167,4.313217
-924.45142,89,4.338496
-925.927782,96,4.368227
-911.959762,53,4.384434
71.769195,240,4.453526
-913.800871,122,4.490145
-915.203119,62,4.508848
-641.00238,209,4.567849
-731.060187,157,4.614482
-920.994135,91,4.641786
-916.121483,73,4.661277
-1016.114369,121,4.695278
-916.83184,102,4.723827
274.074758,240,4.790162
-921.722158,75,4.81109
-833.709556,140,4.849895
-913.647788,62,4.867274
-821.396673,101,4.89542
-916.261005,76,4.917206
-816.838794,88,4.941416
-1040.618675,184,4.993163
172.913616,240,5.057909
