#{"t_start": 1767693697.8165314, "env_id": null}
r,l,t
-1009.990759,46,4.585081
-808.725916,46,4.614004
-1007.699147,29,4.637938
-1008.023382,38,4.661876
-1007.078112,53,4.701798
-907.746978,40,4.728696
-1009.475303,35,4.751635
-1007.627414,27,4.773577
-1011.99397,52,4.809511
-1005.848645,42,4.837466
-1008.772053,43,4.870443
-1008.555448,37,4.896374
-1010.202033,38,4.925446
-1009.149046,35,4.949384
-1005.184909,33,4.974318
-1009.247397,30,4.998132
-1008.189118,43,5.036035
-1007.310684,35,5.067456
-908.771071,50,5.105128
-908.840423,35,5.130061
-1008.602171,36,5.155992
-1005.723835,35,5.185911
-1006.494209,35,5.21484
-1006.857127,34,5.24177
-1007.041675,45,5.270692
-1007.171458,34,5.293635
-1009.296489,36,5.32057
-1006.444453,28,5.339525
-1009.032148,35,5.367483
-1007.109403,28,5.384497
-908.086535,39,5.409502
-1010.7254,39,5.436437
-1007.784715,30,5.462431
-1005.872869,34,5.483024
-1008.954903,36,5.511947
-1009.048056,38,5.541959
-910.273492,58,5.587905
-1008.588266,34,5.616059
-1012.72784,42,5.645949
-1006.731843,28,5.664902
-906.129513,32,5.688936
-1005.557767,29,5.707828
-1007.928161,34,5.731796
-1011.936072,56,5.769708
-906.729864,44,5.797637
-1012.325789,42,5.823186
-1007.744972,27,5.846096
-908.53198,37,5.870032
-1008.450079,36,5.897958
-1008.195383,35,5.923438
-1007.47112,25,5.938427
-1008.106028,33,5.961336
-1010.541346,55,6.002256
-1006.910585,32,6.030154
-1010.211905,39,6.056114
-906.876185,34,6.081017
-1007.4714,41,6.110999
-1006.446284,37,6.134961
-1008.853467,31,6.162466
-910.978883,37,6.19142
-905.88969,32,6.211366
-1009.813269,44,6.252227
-1014.179272,53,6.302093
-906.342865,33,6.334008
-1010.368205,41,6.370908
-909.579329,31,6.396839
-1008.576461,41,6.422279
-1006.583362,42,6.460177
-1007.986079,39,6.486109
-1012.04174,49,6.516088
-1007.753433,35,6.540993
-1015.605158,73,6.593851
-1010.100797,33,6.617828
-1007.240428,35,6.646721
-1009.318928,36,6.670844
-1007.845678,36,6.694381
-1005.728073,32,6.72128
-1006.107505,35,6.750203
-1011.968703,39,6.783114
-1007.794117,30,6.809046
-1010.975087,50,6.847737
-1006.579149,31,6.867685
-1007.365796,35,6.900596
-1008.921653,46,6.943481
-805.548406,39,6.976394
-806.687847,38,7.007311
-906.728404,34,7.039225
-907.303304,41,7.072137
-907.034822,30,7.094105
-1009.190455,40,7.124721
-1009.167734,35,7.157634
-1007.138707,31,7.193537
-1007.229516,42,7.231437
-1008.22498,28,7.254374
-1009.826505,29,7.2823
-1009.397891,36,7.313216
-908.202709,42,7.346129
-908.464928,37,7.375052
-1008.426596,48,7.41298
-908.035217,36,7.437977
-1007.757859,53,7.478519
-1007.206237,37,7.505439
-1007.9044,43,7.545314
-1007.44628,34,7.574237
-1011.999541,65,7.634079
-1007.337637,28,7.660659
-907.536714,36,7.685593
-1007.529558,34,7.710527
-1010.539146,41,7.739448
-1009.194026,38,7.769368
-1006.67151,31,7.799289
-907.591645,39,7.830236
-1009.422256,38,7.863147
-907.838349,33,7.891632
-1007.53268,30,7.913574
-1006.988423,43,7.941528
-1006.979735,33,7.961445
-1008.27553,33,7.986415
-1007.895297,27,8.006325
-1009.16372,34,8.030262
-911.095495,57,8.070154
-1009.99893,41,8.097082
-1009.672748,35,8.12607
-1005.572063,30,8.146906
-1006.318818,35,8.172711
-1006.838938,31,8.193659
-1009.078754,40,8.21863
-1009.459675,42,8.250386
-907.447738,42,8.283275
-1011.083485,53,8.317187
-1009.051467,60,8.367354
-1008.069758,31,8.399274
-1011.176379,37,8.435275
-1007.674909,35,8.47315
-1009.248192,35,8.520149
-1007.387362,38,8.554126
-1009.374577,32,8.590075
-1008.303482,32,8.617002
-1006.994381,39,8.650964
-1009.599225,38,8.688985
-1012.868997,45,8.738906
-1009.200334,33,8.768835
-1007.049609,31,8.801763
-1010.135353,42,8.838235
-1008.868026,49,8.880728
-1006.994422,34,8.909652
-910.265555,49,8.955529
-1007.655606,42,9.002403
-1007.825584,52,9.049278
-905.318456,32,9.075208
-909.378228,39,9.112601
-1006.385688,37,9.148519
-1009.090893,36,9.177428
-907.131933,35,9.209343
-1008.545475,44,9.246244
-806.900664,34,9.276164
-906.417928,32,9.306286
-1007.548789,36,9.336205
-1008.515167,29,9.363297
-906.60299,35,9.399297
-1006.527898,29,9.426165
-1005.447888,33,9.451108
-807.06447,48,9.494597
-1008.28768,46,9.526484
-1011.816821,55,9.562387
-1009.984116,35,9.59131
-906.579711,41,9.618269
-1009.023239,41,9.646168
-1013.577788,39,9.67709
-1008.903927,41,9.703572
-1009.349552,38,9.730498
-1009.909977,33,9.761416
-1007.332191,34,9.789341
-805.702064,31,9.816284
-1009.176518,34,9.849733
-1007.171401,32,9.878654
-906.315124,36,9.916553
-1009.756664,42,9.949465
-1009.642107,50,9.985369
-1009.767267,50,10.03028
-1008.994058,34,10.053946
-906.688036,34,10.073988
-909.039341,39,10.105997
-1009.15515,33,10.130978
-1010.592894,34,10.165997
-1014.283473,59,10.217064
-1007.048552,43,10.248423
-1009.413595,41,10.283425
-1008.748654,36,10.311446
-1011.404167,41,10.348549
-708.055531,41,10.3863
-1006.435238,38,10.422315
-1009.865757,36,10.453237
-1010.825005,37,10.484444
-1008.647465,37,10.514394
-1013.773822,43,10.54338
-908.779846,46,10.575278
-1009.108303,57,10.618301
-1007.212616,34,10.648323
-1005.72222,34,10.673353
-906.718131,33,10.700348
-1009.795843,40,10.736286
-1005.875159,33,10.764293
-1008.910604,41,10.804253
-1008.923506,43,10.845183
-1008.821243,37,10.878707
-809.008986,41,10.916254
-1007.458196,29,10.942369
-1007.88668,43,10.982346
-813.628299,52,11.020207
-1008.950127,54,11.075191
-1010.044011,38,11.109219
-910.080515,50,11.154144
-1008.301458,42,11.192345
-909.211914,37,11.217382
-907.375431,37,11.238396
-1008.932507,29,11.258381
-1007.387292,28,11.277375
-1008.275831,33,11.302341
-1008.940011,41,11.333347
-1008.615883,30,11.359355
-1007.816194,33,11.389148
-806.284468,39,11.431051
-1008.351852,53,11.476457
-1009.851936,35,11.507378
-1008.237286,45,11.549327
-1008.606324,45,11.584507
-1007.029438,33,11.613434
-1008.688851,38,11.637403
-1008.729201,34,11.661364
-1011.955904,42,11.694417
-1007.154904,30,11.715367
-1007.737673,40,11.741436
-1007.304908,36,11.766413
-1007.753105,43,11.801273
-1007.889168,30,11.821195
-1005.414542,27,11.851129
-1011.980463,44,11.887059
-1009.123215,40,11.923999
-1005.627423,31,11.94995
-1006.92459,42,11.987849
-1006.785195,38,12.023752
-907.680434,31,12.051677
-1008.624654,39,12.088579
-1006.210761,36,12.124483
-908.971712,52,12.169363
-1006.942762,40,12.196293
-908.315984,32,12.222228
-1007.761853,35,12.252882
-1007.238435,36,12.277816
-1008.892627,39,12.303775
-1007.411164,35,12.332668
-1007.375475,33,12.366578
-908.365678,40,12.401484
-1010.063393,39,12.433399
-1007.736018,33,12.457707
-1010.495692,43,12.49364
-1006.751514,40,12.521537
-908.22282,38,12.556443
-1006.961792,37,12.582123
-1007.395976,35,12.614038
-1007.656779,46,12.649985
-1008.528223,31,12.672083
-1008.259418,40,12.701154
-906.31665,34,12.72861
-908.824231,44,12.757262
-1008.90556,42,12.785331
-1010.122655,39,12.814361
-908.66163,41,12.851332
-1006.21156,38,12.876322
-1012.444485,65,12.919383
-1008.502633,30,12.943537
-1008.595977,33,12.970513
-1009.900448,34,12.998482
-1008.213624,35,13.030528
-1005.536781,33,13.050444
-910.051053,40,13.081412
-1011.007404,37,13.106316
-1006.525412,34,13.130253
-1008.29869,36,13.155187
-1009.38607,40,13.185118
-1006.24292,34,13.212065
-1007.026083,41,13.247999
-1006.886974,33,13.274926
-1009.749898,41,13.307809
-1008.769979,38,13.341717
-1006.411549,28,13.386627
-1008.015659,32,13.413554
-1006.947734,39,13.439496
-1007.675181,37,13.462426
-1007.598986,37,13.493442
-1010.270322,42,13.529921
-1008.839723,33,13.551892
-1011.512572,47,13.594778
-1008.231979,38,13.627688
-907.811832,34,13.650628
-1006.996145,37,13.675532
-1007.490745,34,13.70449
-1008.106712,36,13.729423
-1006.764975,44,13.757412
-1009.388513,43,13.789403
-1006.914274,36,13.823309
-1007.266505,34,13.848248
-1008.204148,31,13.873188
-1007.544229,29,13.890149
-1011.359657,67,13.935064
-1008.257318,45,13.966016
-1009.490255,31,13.986966
-805.33654,30,14.005916
-1007.748253,40,14.040575
-1009.770675,42,14.068419
-1009.232325,30,14.089204
-1006.5419,36,14.114388
-906.861918,30,14.133379
-1007.474803,39,14.169518
-1007.4661,42,14.196599
-1005.760078,32,14.223563
-1011.213869,38,14.24756
-1005.662474,31,14.269765
-1010.210318,33,14.297627
-1008.921251,41,14.325587
-1005.961474,30,14.351607
-1006.649271,32,14.376523
-907.49511,28,14.395504
-1009.697868,35,14.419564
-907.784424,38,14.44953
-807.781602,28,14.469605
-1011.633538,42,14.501601
-906.405205,26,14.524582
-1006.31271,37,14.554547
-1009.003136,36,14.579601
-908.450332,30,14.605536
-909.118552,37,14.629631
-1006.956028,38,14.660644
-1007.120907,38,14.69162
-1007.755852,34,14.714599
-1008.821149,32,14.739648
-906.004122,32,14.763644
-909.068623,38,14.79466
-1006.484953,39,14.826639
-1007.26399,28,14.846591
-1011.368292,41,14.874631
-1006.991852,31,14.895639
-1008.611276,38,14.924598
-1007.855116,33,14.946573
-1007.598337,31,14.96575
-1007.336403,33,14.986758
-910.476451,51,15.020667
-1008.538261,28,15.038632
-909.607857,46,15.072588
-1007.800269,49,15.105691
-1006.581383,35,15.129639
-1007.799982,44,15.161606
-1007.455896,31,15.184609
-1008.748356,34,15.208618
-1006.459158,33,15.232635
-1006.794725,32,15.251625
-1008.526424,37,15.275791
-1005.435233,31,15.301819
-908.067045,33,15.32174
