#{"t_start": 1767475531.7559826, "env_id": null}
r,l,t
-1008.8927,53,0.079695
-1010.923787,36,0.13381
-1009.256802,32,0.179687
-909.481528,40,0.233544
-1007.277776,35,0.282419
-1008.654803,30,0.319321
-1010.393253,58,0.385154
-1008.838445,34,0.436022
-1007.589517,41,0.490918
-1006.501456,33,0.535773
-1006.662092,36,0.591026
-906.888534,39,0.655851
-1008.033367,35,0.705721
-1007.431152,41,0.758442
-1006.682507,44,0.810918
-1007.765641,42,0.863997
-1007.881478,30,0.898973
-1008.310883,34,0.947871
-1007.232466,36,0.995743
-1009.636381,35,1.052213
-1009.661323,39,1.105813
-908.407859,34,1.148727
-1008.042011,30,1.184634
-807.260305,33,1.226067
-1008.474221,36,1.27693
-1009.48401,47,1.335773
-1010.235337,44,1.388636
-1009.588863,42,1.439505
-1010.224254,40,1.488971
-1009.115704,41,1.540802
-1006.413195,34,1.583693
-1006.985918,36,1.627675
-908.701024,41,1.685526
-1008.172501,33,1.721467
-1009.190722,35,1.767315
-1007.070046,37,1.812201
-1009.490362,32,1.852102
-1009.135835,32,1.885074
-1008.030219,32,1.922922
-1009.051053,31,1.956865
-1008.182778,35,2.006822
-1008.470351,30,2.044782
-1008.558383,37,2.086756
-907.921468,35,2.130854
-808.110278,38,2.175802
-1009.196663,33,2.216852
-1009.426448,37,2.256795
-1007.625851,36,2.301915
-808.0591,33,2.341871
-1008.452446,32,2.379817
-808.364516,34,2.418787
-907.087376,32,2.454843
-1007.074406,32,2.501931
-1009.942286,37,2.549844
-906.857968,32,2.586779
-1007.665069,33,2.623804
-1008.286721,35,2.670816
-907.678556,33,2.712817
-1009.003751,30,2.746869
-906.937576,37,2.784855
-1008.771321,41,2.842866
-1009.5697,31,2.888868
-1008.319242,35,2.941859
-1008.955625,31,2.983862
-1007.481599,34,3.02291
-1008.579687,31,3.061934
-1007.718292,35,3.116908
-1006.26226,35,3.156894
-1010.029522,39,3.204915
-1008.654288,36,3.249859
-1010.181003,37,3.293914
-1008.880744,39,3.34393
-1008.949478,34,3.385867
-907.188372,36,3.435008
-1006.180701,34,3.477963
-1007.515529,36,3.519988
-1009.616727,38,3.576991
-1009.177574,41,3.632011
-1007.846021,37,3.670972
-1008.748198,36,3.721119
-1008.163949,32,3.763988
-906.087415,33,3.80493
-1008.307092,37,3.851942
-1009.118112,34,3.893956
-907.060644,35,3.94198
-907.490981,33,3.981939
-1007.691839,38,4.039958
-1009.142165,34,4.083981
-1008.567818,37,4.126971
-1007.566781,36,4.168982
-1006.928957,37,4.215015
-1006.998506,36,4.253943
-906.941975,36,4.293007
-908.436985,39,4.346109
-808.427254,33,4.379989
-1007.730736,38,4.421975
-1008.279098,36,4.471009
-907.17087,34,4.51021
-1006.628435,41,4.5581
-1008.849995,35,4.603988
-1006.688142,39,4.653998
-1007.617395,37,4.698978
-1007.287125,35,4.738007
-906.939702,35,4.786986
-1007.335421,36,4.831078
-1007.498651,38,4.878073
-1008.177211,36,4.923015
-1006.484755,36,4.973036
-1007.246305,40,5.025056
-1009.045225,36,5.067074
-1007.80291,36,5.109026
-1008.747728,36,5.152024
-1008.570717,33,5.195026
-1007.375115,35,5.241997
-1009.356202,36,5.285055
-1007.062491,37,5.335126
-1007.148073,35,5.378027
-1010.541074,35,5.427191
-1008.03235,42,5.477028
-908.657175,33,5.516062
-1006.886119,34,5.563037
-1006.866186,37,5.610135
-906.595541,33,5.64907
-1006.479461,35,5.694184
-1007.529234,34,5.738049
-1008.167228,35,5.787995
-1009.296318,37,5.832929
-1006.869069,39,5.880968
-1009.094794,37,5.930062
-1007.963301,41,5.978115
-1007.581784,34,6.021067
-1006.399172,38,6.065106
-1008.506938,39,6.111608
-1007.706683,36,6.156032
-1008.152885,41,6.212146
-1007.647051,39,6.2591
-1007.166048,41,6.306122
-907.115575,39,6.365141
-908.297024,35,6.408149
-1006.717299,37,6.467194
-1007.022661,35,6.507186
-1007.081353,38,6.55715
-1008.433299,37,6.613136
-908.47408,35,6.658129
-1008.736216,33,6.702078
-906.406886,36,6.745132
-1009.250332,35,6.78711
-1008.622884,37,6.837153
-1009.620972,39,6.894146
-1008.6151,37,6.943171
-907.089007,37,6.982166
-906.814863,36,7.028157
-907.93405,33,7.06713
-1009.495761,31,7.10107
-1008.888179,33,7.142123
-1009.926987,36,7.183112
-907.511763,36,7.236149
-807.255529,36,7.291296
-1007.140279,34,7.330193
-1007.247821,36,7.376137
-1007.413367,35,7.422169
-1010.026146,38,7.472171
-1006.112433,35,7.524216
-1009.483952,33,7.572247
-1009.271466,32,7.609159
-906.953699,34,7.653208
-1007.098604,33,7.692236
-1007.349942,39,7.74118
-1007.436235,34,7.787097
-1008.695428,36,7.834271
-1006.80078,35,7.884157
-1008.151006,35,7.929218
-1007.675186,32,7.969207
-1006.486986,39,8.018269
-1007.766676,37,8.060201
-1006.431528,36,8.100228
-1008.079002,36,8.1492
-1008.929852,34,8.191648
-1008.759161,34,8.239238
-1006.976502,37,8.285199
-1007.879637,37,8.332216
-1008.418543,34,8.380214
-908.135502,37,8.429212
-1007.527094,34,8.468231
-1006.703536,39,8.514253
-1007.191056,37,8.561339
-1009.422507,34,8.604274
-1008.599051,35,8.652293
-1009.156513,35,8.699272
-1009.398832,32,8.736244
-1007.743894,32,8.77429
-1007.299113,38,8.81724
-1007.989452,38,8.865308
-1007.110713,39,8.917219
-807.314761,32,8.961324
-1008.594732,33,9.004365
-1008.217875,39,9.057267
-1008.05003,32,9.095264
-907.852296,36,9.141273
-1007.854711,39,9.200377
-1009.416022,34,9.245302
-1007.707758,37,9.293316
-1007.15431,33,9.337288
-906.472464,36,9.380399
-1007.942485,32,9.417398
-1009.588621,34,9.460314
-1009.15304,37,9.503441
-1006.404433,36,9.551465
-1007.722192,34,9.592388
-910.100242,37,9.641351
-1009.565877,34,9.682383
-1007.034349,36,9.727388
-1006.744345,37,9.771332
-1008.945838,34,9.815377
-1006.261511,37,9.867318
-1007.950216,34,9.912332
-907.049104,37,9.959305
-1009.789812,37,10.007338
-1009.486978,33,10.05187
-1008.686984,35,10.09435
-907.37316,32,10.133372
-1008.452661,35,10.177415
-1009.142174,35,10.220314
-1006.516903,36,10.269534
-1007.130743,37,10.326571
-1008.977636,35,10.367473
-1008.421369,38,10.414529
-1007.216552,39,10.463472
-907.606004,35,10.505375
-1008.968656,37,10.55838
-1007.960205,37,10.617457
-1008.028656,37,10.664415
-907.676494,32,10.709441
-1007.296412,37,10.751471
-908.36259,32,10.792449
-1007.603829,35,10.837403
-907.781415,40,10.891549
-1008.110769,45,10.951409
-1006.722956,37,10.99443
-907.56846,38,11.034425
-1008.228251,36,11.083444
-907.379971,34,11.123439
-1006.401212,38,11.169413
-1007.626473,37,11.213432
-1008.665088,44,11.278421
-1008.343488,39,11.333322
-907.306491,38,11.377471
-1009.537257,38,11.421469
-1008.552629,40,11.472502
-1008.960051,35,11.514503
-1007.926159,33,11.555488
-1009.456026,36,11.600469
-1008.917935,36,11.643527
-1007.95366,33,11.690496
-1010.557311,40,11.741497
-1009.630929,42,11.799433
-1009.669387,30,11.839494
-907.648415,34,11.887464
-1008.236523,36,11.938501
-1010.735096,38,11.993499
-1008.222728,39,12.041459
-1006.880935,35,12.084488
-1007.185377,41,12.135498
-1008.066517,42,12.186478
-1007.786197,36,12.239492
-907.504095,37,12.28452
-1007.672614,40,12.337464
-1007.693763,40,12.390501
-1007.203051,31,12.430494
-1007.191165,33,12.478502
-1008.314101,38,12.532504
-1008.411898,35,12.578501
-1007.786106,39,12.632534
-1008.177491,35,12.679508
-1008.391546,42,12.729497
-1008.464007,42,12.784492
-1007.532139,36,12.83456
-1008.863632,41,12.88256
-1008.489332,30,12.924489
-1009.11629,39,12.977573
-1008.780967,35,13.025542
-1007.10373,40,13.081631
-907.05156,37,13.129496
-908.214021,42,13.183477
-1008.258416,33,13.222474
-907.542427,36,13.268332
-1007.853863,37,13.312229
-1008.125413,33,13.356115
-907.192242,43,13.410814
-1010.394403,39,13.459682
-807.428957,39,13.518525
-1008.238494,34,13.560412
-908.563226,34,13.606292
-1008.8776,38,13.662143
-1010.137548,43,13.718
-907.453304,40,13.767876
-1007.897116,41,13.810761
-1007.493881,38,13.850655
-1008.030912,44,13.899576
-1009.757332,37,13.950576
-1007.840487,40,14.007561
-1007.291979,45,14.06657
-907.040753,39,14.114645
-1008.31404,32,14.15365
-1007.991204,39,14.209625
-907.26338,35,14.257589
-1011.480414,51,14.323659
-1006.310334,40,14.372607
-1007.713443,37,14.416585
-1007.841219,39,14.46752
-1009.479646,38,14.519468
-1009.081576,37,14.570505
-1007.590398,33,14.61211
-1007.241674,35,14.655662
-1010.022369,60,14.730643
-1008.185484,35,14.77563
-1008.785155,46,14.839595
-1011.379604,64,14.924577
-1008.540174,42,14.983596
-1008.17594,37,15.027541
-1008.619453,54,15.096689
-1010.227379,38,15.143611
-910.947134,38,15.186583
-907.875697,38,15.231604
-1010.893574,43,15.286672
-1007.259362,36,15.337639
-1006.963418,35,15.376723
-1008.137307,37,15.419718
-1009.735736,40,15.469674
-907.695758,36,15.516712
-1007.987065,40,15.575669
-1010.504247,40,15.629692
-1007.364319,42,15.687704
-1009.944045,35,15.73176
-1008.62587,36,15.777705
-910.504171,82,15.877759
-1008.319368,41,15.932808
-1006.912575,42,15.99069
-1007.422539,47,16.042759
-907.880546,54,16.113719
