LR, GAMMA, ENT_COEF, N_STEPS, MEAN_REWARD, MAX_REWARD
0.0005, 0.99, 0.0, 5, 130.82439503999998, 1282.941226
0.0005, 0.99, 0.0, 20, -967.25195625, -508.52157
0.0005, 0.99, 0.01, 5, 112.07553734000001, 1188.635337
0.0005, 0.99, 0.01, 20, 150.54021875, 1066.564646
0.0005, 0.995, 0.0, 5, 167.17876883, 1081.879837
0.0005, 0.995, 0.0, 20, -954.3324218199999, -506.150382
0.0005, 0.995, 0.01, 5, -844.13740399, 163.995459
0.0005, 0.995, 0.01, 20, -350.62110021000007, 578.980466
0.0007, 0.99, 0.0, 5, -933.25474795, 1183.527327
0.0007, 0.99, 0.0, 20, 356.11120281999996, 1273.827765
0.0007, 0.99, 0.01, 5, -320.12603812000003, 1186.534933
0.0007, 0.99, 0.01, 20, -982.9447924499999, -506.28026
0.0007, 0.995, 0.0, 5, 49.59394553, 1281.980832
0.0007, 0.995, 0.0, 20, -19.358594219999997, 1054.242915
0.0007, 0.995, 0.01, 5, -32.468992099999994, 1064.66179
0.0007, 0.995, 0.01, 20, -211.18982131, 879.669796
0.001, 0.99, 0.0, 5, -921.9009954899999, 771.510006
0.001, 0.99, 0.0, 20, -293.53952086, 782.505598
0.001, 0.99, 0.01, 5, -407.0142710100001, 1390.880878
0.001, 0.99, 0.01, 20, -116.85146447999999, 891.490467
0.001, 0.995, 0.0, 5, -563.6535885099998, 984.704214
0.001, 0.995, 0.0, 20, 11.078988399999997, 992.543952
0.001, 0.995, 0.01, 5, -489.1457023699999, 981.785194
0.001, 0.995, 0.01, 20, -237.04861252999996, 255.628936
