#{"t_start": 1767566401.1789927, "env_id": null}
r,l,t
-1007.563398,35,2.163674
-1008.093015,45,2.187579
-1006.981478,37,2.206556
-1010.651849,47,2.230493
-806.861102,35,2.249413
-906.317914,39,2.269386
-1007.655126,34,2.294293
-806.315391,32,2.31025
-1032.053681,93,2.357125
-1009.985975,46,2.381093
-1009.00203,32,2.398129
-907.214962,33,2.415082
-1011.370585,58,2.444004
-1009.321859,37,2.462954
-1009.590979,47,2.487195
-1005.330232,31,2.504114
-1008.982584,37,2.523135
-1009.441861,38,2.548163
-1008.395573,49,2.573089
-1008.267089,40,2.594147
-1010.506528,38,2.61515
-1008.599343,34,2.633099
-1007.466768,37,2.653045
-1013.516495,52,2.682068
-1008.434802,39,2.702978
-1007.398784,39,2.724097
-1011.195254,69,2.761116
-1007.886052,39,2.782137
-907.982082,36,2.806131
-1010.378391,48,2.831122
-1007.168917,42,2.854027
-1006.509234,43,2.87807
-1006.940913,33,2.895143
-1008.875458,42,2.917163
-906.603312,51,2.943372
-1007.178492,39,2.964289
-1008.863076,46,2.99011
-1010.743704,45,3.013066
-1008.60869,39,3.034122
-1007.626552,36,3.060132
-1006.859399,32,3.077088
-1008.842542,32,3.093131
-1006.569513,41,3.114184
-1007.685098,39,3.135127
-1007.967828,31,3.151107
-1005.457946,41,3.173049
-1013.908611,63,3.207252
-1008.192947,41,3.22812
-1008.691901,35,3.247013
-807.942508,44,4.415876
-1008.218507,32,4.43682
-1011.844967,50,4.46275
-1010.279607,47,4.489679
-906.069541,38,4.513615
-1009.099282,39,4.537549
-910.933417,40,4.571459
-1006.377263,59,4.606395
-1007.291162,38,4.625245
-1007.69476,40,4.646279
-1007.195603,53,4.673285
-1007.017622,40,4.693184
-1007.495099,39,4.713285
-707.799595,36,4.732291
-1007.070816,31,4.748307
-908.015997,67,4.782302
-1008.227109,34,4.799303
-906.124042,38,4.824273
-807.970742,41,4.845289
-1009.355941,48,4.870191
-1012.863344,62,4.901307
-1009.587941,38,4.920285
-1007.327284,31,4.937234
-1007.934245,36,4.957357
-1006.199462,44,4.980314
-1008.161946,35,4.998321
-1007.885753,40,5.018321
-809.518223,46,5.042311
-1008.802108,32,5.064255
-1006.31512,37,5.083229
-1006.038114,35,5.101236
-1006.985108,48,5.126224
-907.340487,42,5.148247
-1011.552994,54,5.176227
-1006.188064,39,5.196229
-913.422166,47,5.221244
-1010.688219,48,5.245234
-908.154938,33,5.263242
-907.790862,41,5.2833
-908.615842,37,5.301335
-1008.062784,50,5.332331
-1008.11795,34,5.34935
-1012.026545,56,5.378344
-1008.977755,43,5.400343
-1007.558115,41,5.421343
-1009.043904,29,5.435328
-1006.777405,41,5.455333
-1006.277624,33,5.471342
-1015.25613,59,6.580897
-1007.487457,44,6.602838
-806.313395,41,6.632759
-909.295668,44,6.656729
-1009.311701,38,6.676461
-1010.179368,41,6.702393
-1008.591142,39,6.726328
-1007.371976,41,6.755251
-908.612602,43,6.778222
-1007.453549,41,6.800161
-1009.378836,35,6.823102
-1006.876404,40,6.844043
-1008.920387,40,6.864987
-1007.94093,35,6.882944
-1008.817879,39,6.903888
-908.731775,33,6.920837
-1008.095789,35,6.938789
-1008.869135,42,6.961729
-1008.598428,31,6.977476
-1007.270612,34,6.994425
-1008.766591,52,7.021322
-906.116802,39,7.041298
-1005.917881,32,7.058254
-905.745885,36,7.083186
-1009.911514,41,7.104129
-1009.789528,52,7.131058
-1008.033352,46,7.153001
-1007.904763,39,7.172946
-1009.986761,57,7.200974
-1008.599277,33,7.217979
-1016.824844,64,7.249951
-906.652698,47,7.273956
-1009.078591,39,7.292974
-1006.482939,38,7.317015
-908.103082,47,7.339983
-1007.517359,40,7.359988
-1009.2199,36,7.377991
-908.250621,35,7.395973
-1007.67595,33,7.412983
-1007.275445,39,7.430999
-1009.171217,37,7.450032
-906.207373,28,7.463026
-1010.01195,38,7.483033
-1008.206038,34,7.500059
-1009.779709,39,7.519074
-1006.833617,42,7.541079
-1007.674154,42,7.56749
-1009.177596,47,7.590403
-1009.338164,50,7.615401
-1016.325488,74,7.652426
-1007.838516,33,8.800732
-907.17949,35,8.830655
-1008.826757,35,8.856586
-1008.241788,41,8.885995
-1008.030923,52,8.91791
-907.750308,36,8.940849
-1008.047967,42,8.97177
-1008.739561,43,8.999702
-908.461169,42,9.020653
-1007.347996,43,9.041776
-1008.280352,53,9.074737
-1012.32728,59,9.103932
-1009.245433,42,9.125901
-907.495061,40,9.146846
-1008.904841,36,9.164833
-1016.069313,65,9.198865
-1007.214843,33,9.215853
-1009.172284,32,9.23187
-1008.501551,52,9.257864
-807.353696,44,9.280948
-1006.618883,38,9.300895
-1007.82828,40,9.324802
-907.501783,32,9.340773
-909.199059,51,9.36669
-1008.783287,33,9.382676
-1009.281184,35,9.399695
-1008.95051,45,9.4227
-1009.849745,36,9.440717
-1010.402996,38,9.460726
-1008.473378,33,9.477781
-1010.775347,46,9.501743
-1009.109341,51,9.5278
-1011.476965,39,9.547811
-1006.333974,35,9.574735
-1007.902334,36,9.594654
-1006.677271,39,9.646674
-1009.873013,53,9.684829
-1008.416343,47,9.714754
-1006.724523,33,9.732705
-1008.242335,36,9.755644
-1010.234318,38,9.778584
-1008.236144,36,9.798529
-1008.523758,46,9.831441
-1011.538683,63,9.866348
-1008.88004,50,9.896268
-1010.424469,45,9.921201
-1014.229764,59,9.954112
-1007.317812,35,9.973062
-1008.039698,59,11.217263
-1006.805318,33,11.240201
-1006.831497,34,11.263166
-905.909332,31,11.284111
-1007.729355,32,11.30403
-1006.873939,42,11.338682
-1006.953658,40,11.363575
-1010.644809,69,11.407457
-1008.520923,47,11.432391
-1014.756712,62,11.465303
