#{"t_start": 1767729416.695586, "env_id": null}
r,l,t
391.352944,240,0.046332
1190.239712,240,0.086474
880.913139,240,0.126603
983.160848,240,0.16624
1193.943281,240,0.205238
780.575604,240,0.24424
879.10894,240,0.282665
888.656305,240,0.321011
1188.123989,240,0.770215
979.647139,240,0.808605
493.3386,240,0.847646
689.608171,240,0.886353
1094.01977,240,0.924848
394.159971,240,0.963664
987.523128,240,1.007113
483.162403,240,1.045309
880.033335,240,1.083839
890.004915,240,1.51738
880.170463,240,1.559023
786.940561,240,1.597908
794.85043,240,1.635844
790.257343,240,1.673699
1085.041114,240,1.711641
683.528031,240,1.749522
289.08827,240,1.787514
193.304641,240,2.23642
981.412875,240,2.274718
390.95999,240,2.312883
1080.481714,240,2.351139
981.898469,240,2.389223
393.326993,240,2.427211
686.840379,240,2.465291
1182.121317,240,2.503231
787.665928,240,2.541634
888.44676,240,2.984508
785.459572,240,3.024054
1090.663504,240,3.062611
983.005288,240,3.101614
690.271377,240,3.141478
1080.520582,240,3.18146
885.509412,240,3.220965
889.594961,240,3.259905
1086.292473,240,3.691648
1084.643506,240,3.73182
577.072522,240,3.772802
1085.026964,240,3.814413
1191.306615,240,3.856627
985.447889,240,3.897794
576.934558,240,3.939691
1488.054082,240,3.980977
689.788987,240,4.022093
1085.504301,240,4.630601
888.175848,240,4.671266
1084.715058,240,4.711808
875.471528,240,4.751585
1082.852131,240,4.791417
770.092933,240,4.830642
1088.268094,240,4.871883
1188.615303,240,4.911244
880.252158,240,5.357983
584.424445,240,5.396643
791.992863,240,5.435458
782.615106,240,5.47396
880.76443,240,5.512303
773.473416,240,5.550244
983.989112,240,5.587977
784.696077,240,5.625599
386.827887,240,5.663158
584.720515,240,6.114521
786.923859,240,6.154554
479.330984,240,6.19488
792.015249,240,6.234516
985.12111,240,6.273935
892.606716,240,6.313851
1085.271398,240,6.354389
663.536398,240,6.393965
582.191456,240,6.837429
294.622429,240,6.876258
1390.304693,240,6.916372
1089.663092,240,6.956005
291.473771,240,6.995458
1192.93205,240,7.036427
889.088726,240,7.075236
1090.087046,240,7.113864
889.223707,240,7.152296
1385.152845,240,7.595871
785.169163,240,7.634323
1091.25822,240,7.672368
696.830415,240,7.710181
984.134984,240,7.747975
1186.157813,240,7.78581
