LR, CLIP_RANGE, N_EPOCHS, MEAN_REWARD, MAX_REWARD
0.0007, 0.2, 10, 1018.15260805, 1591.114761
0.0007, 0.2, 15, 913.30779399, 1694.940037
0.0007, 0.3, 10, 773.1032205299999, 1491.039126
0.0007, 0.3, 15, 798.3277313899998, 1488.818163
0.001, 0.2, 10, 915.3249180900001, 1489.575158
0.001, 0.2, 15, 811.0354774499999, 1494.110124
0.001, 0.3, 10, 898.1061307499999, 1592.296397
0.001, 0.3, 15, 767.75189197, 1395.255067
0.0015, 0.2, 10, 903.8469950300001, 1590.063614
0.0015, 0.2, 15, 824.6315099999998, 1690.915805
0.0015, 0.3, 10, 493.04358495, 1585.879514
0.0015, 0.3, 15, 527.6930525299999, 1290.095919
