#{"t_start": 1767643730.9206097, "env_id": null}
r,l,t
-911.46822,50,1.778172
-906.016454,50,1.796125
-913.012522,75,2.830079
-1007.608971,49,3.446268
-1008.507749,44,3.986384
-1012.417097,50,4.594259
-1007.943794,27,4.921445
-1011.770405,40,5.414448
-1018.39223,65,6.22242
-1006.501195,28,6.582398
-1009.03193,47,7.234494
-1010.914711,43,7.739523
-1008.022523,28,8.08945
-1008.907443,45,8.613611
-1010.229014,42,9.130606
-1008.424152,30,9.568394
-1011.672714,38,10.128551
-1008.754238,41,10.69443
-1006.821605,40,11.209551
-911.048704,47,11.805642
-1008.475073,43,12.42261
-1012.099813,44,13.02839
-1006.706894,27,13.446468
-1007.118433,27,13.778229
-907.199198,43,14.399228
-1007.200799,29,14.784135
-908.282871,35,15.219442
-1006.341643,36,15.730186
-1006.016401,27,16.121283
-1010.768919,42,16.701396
-1007.534082,30,17.119141
-1008.341969,41,17.690799
-1009.914112,36,18.181432
-1007.841748,31,18.625126
-909.387669,34,19.110636
-1010.185788,47,19.80725
-1007.858205,30,20.220344
-1008.254054,29,20.640149
-1006.748852,32,21.058613
-1006.545743,41,21.621206
-1007.089479,39,22.156912
-1008.657828,34,22.645623
-1007.239911,34,23.08108
-906.769553,33,23.485685
-1008.466371,39,24.035077
-1006.702416,28,24.402011
-1008.651144,37,24.917929
-1007.965046,30,25.328592
-907.066184,34,25.772562
-906.713539,36,26.217163
-1007.872488,34,26.64503
-907.563112,29,27.009091
-1006.682152,36,27.478469
-1006.346806,30,27.906947
-806.998735,27,28.243777
-907.253844,39,28.728025
-1007.648461,35,29.163162
-1007.67199,42,29.729645
-906.611428,33,30.246256
-1007.683,35,30.693749
-1005.910051,32,31.111614
-1007.461573,39,31.612517
-1006.798608,33,32.068349
-1008.260064,36,32.532712
-1008.005305,33,33.004158
-1007.661064,31,33.374866
-1009.151411,36,33.832537
-1007.726302,28,34.206055
-1009.911414,38,34.753702
-907.021811,41,35.350554
-1008.144419,31,35.837683
-1005.828959,34,36.378603
-908.459512,36,36.912221
-1008.792503,37,37.468055
-1008.473855,38,38.040193
-1009.06217,36,38.668171
-1008.720516,34,39.189744
-1010.087024,46,39.89627
-1010.290366,36,40.432891
-906.609225,34,40.982146
-1005.8889,35,41.468004
-908.474765,33,41.909822
-1008.84146,43,42.477856
-1008.118079,47,43.089516
-1008.799175,37,43.585214
-1008.190912,32,43.987637
-1008.675243,31,44.401536
-1007.802344,37,44.889438
-1010.410287,35,45.368978
-1007.700635,42,45.928387
-909.22569,44,46.492102
-907.105675,43,47.062799
-1010.359032,38,47.585459
-1009.530549,37,48.065324
-1008.315577,39,48.57054
-1014.996386,50,49.187549
-1007.724944,44,49.738663
-1008.089005,47,50.399563
-1010.127057,34,50.861348
-1007.669733,44,51.437007
-1007.233385,37,51.932648
-1011.477489,62,52.733737
-1008.653758,36,53.196062
-1017.993939,58,53.975882
-805.670544,34,54.421152
-1009.792539,61,55.212186
-1008.54593,52,55.875261
-1009.68561,65,56.730477
-1007.30389,43,57.262322
-1011.970772,53,57.975382
-811.226473,55,58.695536
-1007.394427,36,59.200284
-1009.053688,44,59.854489
-1007.769295,49,60.595217
-1009.994878,35,61.131377
-1009.713517,64,62.127354
-1014.406032,68,63.06917
-1009.461464,61,63.918356
-905.734456,38,64.421293
-1014.460649,82,65.490205
-1012.620523,63,66.428233
-1020.392199,71,67.426038
-1018.938195,79,68.468896
-909.630966,31,68.856625
-1014.952305,67,69.81134
-1006.452674,32,70.261814
-1011.083268,38,70.764752
-1019.172642,66,71.64605
-1005.183867,28,72.019114
-1016.810483,79,73.02181
-1010.012648,38,73.505243
-1022.059751,56,74.212584
-918.616141,62,75.050646
-1018.111844,62,75.842588
-1013.31186,51,76.56475
-1006.706129,34,77.027351
-1016.938149,57,77.781185
-1012.280413,69,78.684257
-1013.324796,40,79.201418
-1005.950028,34,79.60433
-1012.624011,58,80.381757
-804.928606,32,80.922774
-813.68435,74,82.006631
-1010.291828,65,82.873657
-1020.714136,69,83.834625
-918.360815,56,84.524801
-912.921541,45,85.157654
-1006.802291,29,85.521851
-1011.323272,62,86.316904
-1006.765499,37,86.829922
-1040.583956,157,88.856064
-912.839521,54,89.571081
-1009.058752,29,90.005087
-1005.622565,34,90.44612
-1006.559305,51,91.082151
-1010.61255,83,92.182229
-1006.60332,34,92.640214
-1007.29201,32,93.031313
-1010.505819,39,93.502305
-1007.830797,38,93.990455
-907.355414,42,94.553723
-1006.816736,42,95.086492
-908.046535,54,95.832458
-908.091617,55,96.546684
-1008.010082,31,96.958954
-1007.743922,30,97.383213
-1009.616776,30,97.778718
-1016.81234,72,98.712733
-1014.275887,84,99.808709
-1028.513297,120,101.310856
-1007.077003,36,101.778881
-805.132609,52,102.484819
-1010.397488,34,102.967637
-1008.848493,83,104.100421
-1011.794585,67,105.14209
-1009.38141,52,105.896924
-1011.620922,68,106.766839
-1009.926044,65,107.614795
-1007.604759,37,108.098589
-908.301963,82,109.302876
-1014.778833,61,110.23289
-1019.055821,233,113.522703
-609.292089,62,114.415894
-1011.89629,108,116.063928
-1007.338682,48,116.708591
-1023.682465,92,117.95498
-1011.067714,82,119.077046
-1014.636869,125,120.794264
-1007.308115,46,121.411227
-1044.914021,171,123.796958
