#{"t_start": 1767737369.037167, "env_id": null}
r,l,t
-1006.855779,46,4.641923
-1006.632179,40,4.65652
-1007.816006,39,5.044091
-1013.180399,75,6.104122
-1007.165458,37,6.605175
-1009.199353,36,7.090438
-906.59453,54,7.840833
-807.041584,38,8.460819
-1007.1784,35,8.976851
-907.680261,34,9.498025
-1008.670539,33,9.916042
-1006.811124,36,10.414035
-1007.941636,31,10.831524
-1007.952042,35,11.323356
-1008.205783,30,11.720367
-1008.729175,31,12.150547
-1007.725144,32,12.585906
-906.364262,35,13.067612
-1008.992453,29,13.47605
-1006.311487,35,14.0437
-1008.383081,30,14.403139
-1007.919487,34,14.847845
-1008.83175,30,15.295376
-1007.142103,34,15.783808
-1007.766182,37,16.357445
-907.454418,35,16.873986
-1009.501656,31,17.28624
-1007.628029,38,17.815858
-1007.622988,38,18.371752
-1006.156576,34,18.976458
-1009.399005,36,19.447141
-1008.840939,30,19.855834
-1007.474157,30,20.267258
-1006.447338,37,20.76146
-1008.80273,29,21.159161
-1008.1318,30,21.530177
-1007.931857,32,21.92078
-1008.55592,33,22.3459
-906.492893,37,22.837566
-1007.197276,31,23.234807
-907.088564,34,23.732189
-808.31276,33,24.203014
-1006.497188,34,24.654216
-1008.843214,30,25.036689
-1008.722769,29,25.426997
-1006.584926,31,25.858271
-1008.597944,29,26.27015
-1007.837818,30,26.646144
-1009.717765,32,27.070601
-908.567886,30,27.462443
-807.440256,35,27.906441
-1006.781033,33,28.338468
-1008.307476,35,28.794183
-1008.132029,34,29.250964
-1009.16598,32,29.751084
-1009.797864,45,30.388294
-1008.134457,33,30.843328
-1007.531339,39,31.489544
-1009.463573,31,31.992519
-907.757348,32,32.449744
-1011.256068,35,32.973542
-908.346195,47,33.72452
-1011.102389,39,34.43738
-906.303766,35,35.128418
-908.15236,35,35.985253
-1009.7925,45,36.829498
-1011.102724,40,39.502743
-907.536568,38,40.133587
-806.505241,33,40.73075
-1008.329814,41,41.431697
-1008.518163,37,42.089708
-1006.365475,34,42.640351
-907.661199,32,43.117176
-809.060871,38,43.738345
-1007.98539,35,44.324583
